"","Postal_Code","County","Row_ID","Order_Date","Ship_Date","Ship_Mode","Customer_ID","Customer_Name","Segment","City","State","Region","Product_ID","Category","Sub_Category","Product_Name","Sales","Quantity","Discount","Profit","Month","Year","Fulfillment","STATEFIPS"
"1","35244","Jefferson County",2740,2017-04-16,2017-04-18,"First Class","EB-13750","Edward Becker","Corporate","Hoover","AL","South","OFF-SU-10000157","Office Supplies","Supplies","Compact Automatic Electric Letter Opener",477.24,4,0,9.54480000000001,"Apr",2017,2,"01"
"2","35244","Jefferson County",2741,2017-04-16,2017-04-18,"First Class","EB-13750","Edward Becker","Corporate","Hoover","AL","South","TEC-AC-10004227","Technology","Accessories","SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card",25.98,2,0,1.5588,"Apr",2017,2,"01"
"3","35244","Jefferson County",2834,2017-01-26,2017-01-31,"Second Class","CA-11965","Carol Adams","Corporate","Hoover","AL","South","OFF-AR-10001547","Office Supplies","Art","Newell 311",15.47,7,0,4.1769,"Jan",2017,5,"01"
"4","35244","Jefferson County",2835,2017-01-26,2017-01-31,"Second Class","CA-11965","Carol Adams","Corporate","Hoover","AL","South","OFF-BI-10001890","Office Supplies","Binders","Avery Poly Binder Pockets",7.16,2,0,3.4368,"Jan",2017,5,"01"
"5","35401","Tuscaloosa County",4937,2017-01-06,2017-01-13,"Standard Class","DP-13390","Dennis Pardue","Home Office","Tuscaloosa","AL","South","OFF-BI-10004728","Office Supplies","Binders","Wilson Jones Turn Tabs Binder Tool for Ring Binders",33.74,7,0,15.5204,"Jan",2017,7,"01"
"6","35401","Tuscaloosa County",7151,2017-12-22,2017-12-26,"Standard Class","SR-20425","Sharelle Roach","Home Office","Tuscaloosa","AL","South","FUR-CH-10002647","Furniture","Chairs","Situations Contoured Folding Chairs, 4/Set",141.96,2,0,35.49,"Dec",2017,4,"01"
"7","35601","Morgan County",80,2016-06-12,2016-06-15,"First Class","SC-20770","Stewart Carmichael","Corporate","Decatur","AL","South","OFF-AP-10002118","Office Supplies","Appliances","1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2032,"Jun",2016,3,"01"
"8","35601","Morgan County",81,2016-06-12,2016-06-15,"First Class","SC-20770","Stewart Carmichael","Corporate","Decatur","AL","South","OFF-BI-10002309","Office Supplies","Binders","Avery Heavy-Duty EZD  Binder With Locking Rings",16.74,3,0,8.0352,"Jun",2016,3,"01"
"9","35601","Morgan County",3268,2014-05-22,2014-05-29,"Standard Class","EH-14185","Evan Henry","Consumer","Decatur","AL","South","TEC-PH-10002660","Technology","Phones","Nortel Networks T7316 E Nt8 B27",135.98,2,0,33.995,"May",2014,7,"01"
"10","35601","Morgan County",3269,2014-05-22,2014-05-29,"Standard Class","EH-14185","Evan Henry","Consumer","Decatur","AL","South","TEC-PH-10003171","Technology","Phones","Plantronics Encore H101 Dual Earpieces Headset",44.95,1,0,12.586,"May",2014,7,"01"
"11","35601","Morgan County",3703,2015-06-13,2015-06-19,"Standard Class","DH-13075","Dave Hallsten","Corporate","Decatur","AL","South","OFF-AR-10004269","Office Supplies","Art","Newell 31",24.78,6,0,6.9384,"Jun",2015,6,"01"
"12","35601","Morgan County",3704,2015-06-13,2015-06-19,"Standard Class","DH-13075","Dave Hallsten","Corporate","Decatur","AL","South","OFF-BI-10001249","Office Supplies","Binders","Avery Heavy-Duty EZD View Binder with Locking Rings",19.14,3,0,8.8044,"Jun",2015,6,"01"
"13","35601","Morgan County",3705,2015-06-13,2015-06-19,"Standard Class","DH-13075","Dave Hallsten","Corporate","Decatur","AL","South","TEC-CO-10004202","Technology","Copiers","Brother DCP1000 Digital 3 in 1 Multifunction Machine",899.97,3,0,314.9895,"Jun",2015,6,"01"
"14","35601","Morgan County",3706,2015-06-13,2015-06-19,"Standard Class","DH-13075","Dave Hallsten","Corporate","Decatur","AL","South","OFF-PA-10003363","Office Supplies","Paper","Xerox 204",32.4,5,0,15.552,"Jun",2015,6,"01"
"15","35601","Morgan County",5927,2014-04-08,2014-04-12,"Standard Class","RA-19885","Ruben Ausman","Corporate","Decatur","AL","South","FUR-TA-10001086","Furniture","Tables","SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",1215.92,8,0,316.1392,"Apr",2014,4,"01"
"16","35601","Morgan County",8338,2014-12-27,2015-01-03,"Standard Class","TC-20980","Tamara Chand","Corporate","Decatur","AL","South","OFF-PA-10001243","Office Supplies","Paper","Xerox 1983",23.92,4,0,11.7208,"Dec",2014,7,"01"
"17","35601","Morgan County",8339,2014-12-27,2015-01-03,"Standard Class","TC-20980","Tamara Chand","Corporate","Decatur","AL","South","TEC-AC-10003198","Technology","Accessories","Enermax Acrylux Wireless Keyboard",498,5,0,184.26,"Dec",2014,7,"01"
"18","35601","Morgan County",8554,2017-11-13,2017-11-20,"Standard Class","CB-12025","Cassandra Brandow","Consumer","Decatur","AL","South","TEC-AC-10000927","Technology","Accessories","Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand",239.92,8,0,23.992,"Nov",2017,7,"01"
"19","35601","Morgan County",9670,2017-04-02,2017-04-06,"Standard Class","AH-10465","Amy Hunt","Consumer","Decatur","AL","South","OFF-LA-10001569","Office Supplies","Labels","Avery 499",14.94,3,0,6.8724,"Apr",2017,4,"01"
"20","35630","Lauderdale County",1270,2017-06-04,2017-06-08,"Standard Class","DC-12850","Dan Campbell","Consumer","Florence","AL","South","OFF-PA-10002870","Office Supplies","Paper","Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",12.48,2,0,5.616,"Jun",2017,4,"01"
"21","35630","Lauderdale County",1432,2014-12-19,2014-12-21,"Second Class","IM-15070","Irene Maddox","Consumer","Florence","AL","South","OFF-BI-10001191","Office Supplies","Binders","Canvas Sectional Post Binders",152.76,6,0,74.8524,"Dec",2014,2,"01"
"22","35630","Lauderdale County",1433,2014-12-19,2014-12-21,"Second Class","IM-15070","Irene Maddox","Consumer","Florence","AL","South","OFF-SU-10004115","Office Supplies","Supplies","Acme Stainless Steel Office Snips",7.27,1,0,1.9629,"Dec",2014,2,"01"
"23","35630","Lauderdale County",1434,2014-12-19,2014-12-21,"Second Class","IM-15070","Irene Maddox","Consumer","Florence","AL","South","FUR-CH-10000513","Furniture","Chairs","High-Back Leather Manager's Chair",1819.86,14,0,163.7874,"Dec",2014,2,"01"
"24","35630","Lauderdale County",1578,2016-05-23,2016-05-27,"Standard Class","AP-10720","Anne Pryor","Home Office","Florence","AL","South","OFF-PA-10001526","Office Supplies","Paper","Xerox 1949",4.98,1,0,2.4402,"May",2016,4,"01"
"25","35810","Madison County",2187,2016-07-14,2016-07-14,"Same Day","RH-19600","Rob Haberlin","Consumer","Huntsville","AL","South","TEC-AC-10002345","Technology","Accessories","HP Standard 104 key PS/2 Keyboard",29,2,0,7.25,"Jul",2016,0,"01"
"26","35810","Madison County",4922,2017-12-25,2017-12-29,"Second Class","MH-18115","Mick Hernandez","Home Office","Huntsville","AL","South","OFF-PA-10004381","Office Supplies","Paper","14-7/8 x 11 Blue Bar Computer Printout Paper",96.08,2,0,46.1184,"Dec",2017,4,"01"
"27","35810","Madison County",4923,2017-12-25,2017-12-29,"Second Class","MH-18115","Mick Hernandez","Home Office","Huntsville","AL","South","OFF-FA-10003059","Office Supplies","Fasteners","Assorted Color Push Pins",3.62,2,0,1.1946,"Dec",2017,4,"01"
"28","35810","Madison County",4924,2017-12-25,2017-12-29,"Second Class","MH-18115","Mick Hernandez","Home Office","Huntsville","AL","South","OFF-PA-10000994","Office Supplies","Paper","Xerox 1915",629.1,6,0,301.968,"Dec",2017,4,"01"
"29","35810","Madison County",4925,2017-12-25,2017-12-29,"Second Class","MH-18115","Mick Hernandez","Home Office","Huntsville","AL","South","TEC-PH-10002890","Technology","Phones","AT&T 17929 Lendline Telephone",90.48,2,0,23.5248,"Dec",2017,4,"01"
"30","35810","Madison County",5517,2016-11-18,2016-11-21,"Second Class","KC-16255","Karen Carlisle","Corporate","Huntsville","AL","South","TEC-AC-10003870","Technology","Accessories","Logitech Z-906 Speaker sys - home theater - 5.1-CH",1319.96,4,0,527.984,"Nov",2016,3,"01"
"31","35810","Madison County",7654,2015-03-22,2015-03-27,"Standard Class","FW-14395","Fred Wasserman","Corporate","Huntsville","AL","South","OFF-AR-10003217","Office Supplies","Art","Newell 316",19.56,4,0,5.4768,"Mar",2015,5,"01"
"32","35810","Madison County",8343,2016-11-25,2016-11-30,"Standard Class","JK-15370","Jay Kimmel","Consumer","Huntsville","AL","South","OFF-ST-10001325","Office Supplies","Storage","Sterilite Officeware Hinged File Box",73.36,7,0,19.8072,"Nov",2016,5,"01"
"33","35810","Madison County",9011,2017-05-19,2017-05-23,"Standard Class","ND-18460","Neil Ducich","Corporate","Huntsville","AL","South","OFF-BI-10001787","Office Supplies","Binders","Wilson Jones Four-Pocket Poly Binders",26.16,4,0,12.8184,"May",2017,4,"01"
"34","35810","Madison County",9490,2016-08-05,2016-08-11,"Standard Class","MF-17665","Maureen Fritzler","Corporate","Huntsville","AL","South","OFF-AR-10000538","Office Supplies","Art","Boston Model 1800 Electric Pencil Sharpener, Gray",197.05,7,0,59.115,"Aug",2016,6,"01"
