"","Postal_Code","County","Row_ID","Order_Date","Ship_Date","Ship_Mode","Customer_ID","Customer_Name","Segment","City","State","Region","Product_ID","Category","Sub_Category","Product_Name","Sales","Quantity","Discount","Profit","Month","Year","Fulfillment","STATEFIPS"
"1","60016","Cook County",7299,2014-11-18,2014-11-21,"First Class","JK-15730","Joe Kamberova","Consumer","Des Plaines","IL","Central","FUR-TA-10002533","Furniture","Tables","BPI Conference Tables",292.1,4,50,-175.26,"Nov",2014,3,"17"
"2","60016","Cook County",7300,2014-11-18,2014-11-21,"First Class","JK-15730","Joe Kamberova","Consumer","Des Plaines","IL","Central","FUR-FU-10001546","Furniture","Furnishings","Dana Swing-Arm Lamps",8.544,2,60,-7.476,"Nov",2014,3,"17"
"3","60016","Cook County",7301,2014-11-18,2014-11-21,"First Class","JK-15730","Joe Kamberova","Consumer","Des Plaines","IL","Central","FUR-BO-10003546","Furniture","Bookcases","Hon 4-Shelf Metal Bookcases",424.116,6,30,-30.294,"Nov",2014,3,"17"
"4","60035","Lake County",2905,2016-06-27,2016-07-01,"Standard Class","KH-16330","Katharine Harms","Corporate","Highland Park","IL","Central","FUR-CH-10003981","Furniture","Chairs","Global Commerce Series Low-Back Swivel/Tilt Chairs",539.658,3,30,-7.7094000000001,"Jun",2016,4,"17"
"5","60035","Lake County",4384,2015-07-20,2015-07-27,"Standard Class","RA-19915","Russell Applegate","Consumer","Highland Park","IL","Central","FUR-BO-10004690","Furniture","Bookcases","O'Sullivan Cherrywood Estates Traditional Barrister Bookcase",384.944,4,30,-126.4816,"Jul",2015,7,"17"
"6","60035","Lake County",4386,2015-07-20,2015-07-27,"Standard Class","RA-19915","Russell Applegate","Consumer","Highland Park","IL","Central","FUR-BO-10002545","Furniture","Bookcases","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",913.43,5,30,-52.1959999999999,"Jul",2015,7,"17"
"7","60068","Cook County",468,2015-01-17,2015-01-24,"Standard Class","JS-15940","Joni Sundaresam","Home Office","Park Ridge","IL","Central","FUR-FU-10002918","Furniture","Furnishings","Eldon ClusterMat Chair Mat with Cordless Antistatic Protection",254.744,7,60,-312.0614,"Jan",2015,7,"17"
"8","60076","Cook County",2967,2014-12-27,2014-12-31,"Standard Class","Co-12640","Corey-Lock","Consumer","Skokie","IL","Central","FUR-FU-10001473","Furniture","Furnishings","DAX Wood Document Frame",32.952,6,60,-19.7712,"Dec",2014,4,"17"
"9","60076","Cook County",6713,2017-12-14,2017-12-14,"Same Day","DB-13060","Dave Brooks","Consumer","Skokie","IL","Central","FUR-FU-10002298","Furniture","Furnishings","Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",266.352,6,60,-292.9872,"Dec",2017,0,"17"
"10","60076","Cook County",6714,2017-12-14,2017-12-14,"Same Day","DB-13060","Dave Brooks","Consumer","Skokie","IL","Central","FUR-FU-10004091","Furniture","Furnishings","Howard Miller 13"" Diameter Goldtone Round Wall Clock",56.328,3,60,-26.7558,"Dec",2017,0,"17"
"11","60089","Lake County",5751,2014-05-30,2014-06-05,"Standard Class","SS-20410","Shahid Shariari","Consumer","Buffalo Grove","IL","Central","FUR-TA-10001539","Furniture","Tables","Chromcraft Rectangular Conference Tables",355.455,3,50,-184.8366,"May",2014,6,"17"
"12","60090","Cook County",2591,2016-09-08,2016-09-14,"Standard Class","SE-20110","Sanjit Engle","Consumer","Wheeling","IL","Central","FUR-FU-10004671","Furniture","Furnishings","Executive Impressions 12"" Wall Clock",14.136,2,60,-7.7748,"Sep",2016,6,"17"
